student_id,course_code,status,grade
S-101,CS101,completed,72
S-101,CS201,completed,68
S-101,MA150,completed,61
S-101,CS202,enrolled,
S-102,CS101,completed,55
S-102,CS201,completed,58
S-102,MA150,completed,64
S-102,CS202,enrolled,
S-102,CS310,enrolled,
S-102,DS220,enrolled,
S-103,CS101,completed,81
S-103,CS201,completed,77
S-103,MA150,enrolled,
S-104,CS101,enrolled,
S-105,CS101,completed,66
S-105,CS201,completed,48
S-105,MA150,completed,70
S-106,MA150,completed,75
S-107,CS101,completed,59
S-107,MA150,completed,52
